,depth,date,location_code,sample_id_x,elapsed_days,field_season,green_algae,cyanobacteria,brown/mixed_algae,cryptophytes,yellow_substances,total_chlorophyll,sample_id_y,location_name,ctd_conductivity_mscm,ctd_temp_c
13,"(0, 1]",2008-03-18,HOR,HOR0708L8,1205 days,2007-08,1.5966666666666667,0.02666666666666667,0.11666666666666665,0.30666666666666664,0.02,2.0466666666666664,HOR0708L8,Lake Hoare,0.046316666666666666,0.007333333333333333
14,"(0, 1]",2008-11-13,FRX,FRX0809L1,1445 days,2008-09,0.09000000000000001,0.10999999999999999,0.0,0.17,0.03666666666666667,0.37000000000000005,FRX0809L1,Lake Fryxell,0.242875,0.058499999999999996
15,"(0, 1]",2008-11-18,HOR,HOR0809L1,1450 days,2008-09,0.2671428571428572,0.6542857142857142,0.0,0.04857142857142858,0.14142857142857143,0.9714285714285715,HOR0809L1,Lake Hoare,0.15415,0.02075
16,"(0, 1]",2008-12-14,FRX,FRX0809L2,1476 days,2008-09,0.5766666666666667,0.023333333333333334,0.18000000000000002,0.0,0.016666666666666666,0.7799999999999999,FRX0809L2,Lake Fryxell,0.31021,0.0509
17,"(0, 1]",2008-12-17,HOR,HOR0809L2,1479 days,2008-09,0.5333333333333333,0.04,0.25333333333333335,0.155,0.016666666666666666,0.985,HOR0809L2,Lake Hoare,0.0114625,0.040375
18,"(0, 1]",2008-12-30,FRX,FRX0809L3,1492 days,2008-09,0.041363636363636366,0.065,0.013181818181818182,0.04409090909090909,0.031363636363636364,0.16318181818181818,FRX0809L3,Lake Fryxell,0.00419,0.023299999999999998
19,"(0, 1]",2008-12-31,HOR,HOR0809L3,1493 days,2008-09,0.495,0.0075,0.115,0.0775,0.0075,0.6925,HOR0809L3,Lake Hoare,0.02302222222222222,0.2643333333333333
20,"(0, 1]",2009-11-13,HOR,HOR0910L1,1810 days,2009-10,0.5333333333333333,0.12333333333333334,0.6033333333333334,0.42333333333333334,0.11666666666666665,1.68,HOR0910L1,Lake Hoare,0.15185555555555555,0.011000000000000001
21,"(0, 1]",2009-12-30,FRX,FRX0910L3,1857 days,2009-10,0.5519999999999999,0.098,0.028000000000000004,0.098,0.0,0.778,FRX0910L3,Lake Fryxell,0.0018333333333333335,0.042222222222222223
22,"(0, 1]",2010-11-15,HOR,HOR1011L1,2177 days,2010-11,4.1450000000000005,0.0,1.29,0.16,0.11,5.595,HOR1011L1,Lake Hoare,0.19735555555555556,0.02788888888888889
23,"(0, 1]",2010-12-12,HOR,HOR1011L2,2204 days,2010-11,4.720000000000001,0.0,0.7460000000000001,0.11599999999999999,0.0,5.582,HOR1011L2,Lake Hoare,0.01933333333333333,0.04911111111111111
24,"(0, 1]",2011-11-13,HOR,HOR1112L1,2540 days,2011-12,1.1333333333333335,0.06666666666666667,0.9966666666666667,0.44,0.016666666666666666,2.64,HOR1112L1,Lake Hoare,0.15862222222222222,0.026888888888888893
25,"(0, 1]",2011-12-12,HOR,HOR1112L2,2569 days,2011-12,2.3699999999999997,0.0,0.23666666666666666,0.0,0.03833333333333334,2.6016666666666666,HOR1112L2,Lake Hoare,0.019733333333333335,0.013000000000000001
26,"(0, 1]",2012-11-14,MIE,MIE1213L1,2907 days,2012-13,12.502857142857142,0.0,0.0642857142857143,0.0,0.04857142857142858,12.567142857142857,MIE1213L1,Lake Miers,0.0682,0.011333333333333332
27,"(0, 1]",2012-12-13,MIE,MIE1213L2,2936 days,2012-13,1.3025,0.0,0.0,0.0,0.0625,1.3025,MIE1213L2,Lake Miers,0.01501111111111111,0.03766666666666666
28,"(0, 1]",2013-11-16,FRX,FRX1314L1,3274 days,2013-14,0.6799999999999999,0.09285714285714286,3.73,3.19,0.12714285714285714,7.695714285714286,FRX1314L1,Lake Fryxell,0.515025,-0.012875000000000001
29,"(0, 1]",2013-11-29,MIE,MIE1314L1,3287 days,2013-14,1.9833333333333334,0.12,1.425,0.26166666666666666,0.26,3.793333333333333,MIE1314L1,Lake Miers,0.07637777777777778,0.012444444444444445
30,"(0, 1]",2013-12-12,JOY,JOY1314L1,3300 days,2013-14,1.2633333333333334,0.013333333333333332,0.668888888888889,0.5477777777777777,0.06333333333333334,2.4944444444444445,JOY1314,Lake Joyce,0.12177777777777779,0.0006666666666666666
31,"(0, 1]",2014-11-14,MIE,MIE2014L1,3637 days,2014-15,4.060344827586207,0.02517241379310345,0.41517241379310343,0.13655172413793104,0.16758620689655174,4.637586206896552,MIE1415L1,Lake Miers,0.08156666666666666,0.045222222222222226
32,"(0, 1]",2014-12-12,FRX,FRX2014L2,3665 days,2014-15,8.295,0.0,0.265,0.0,0.0,8.559999999999999,FRX1415L2,Lake Fryxell,0.10188888888888889,0.08711111111111111
33,"(0, 1]",2014-12-14,HOR,HOR2014L2,3667 days,2014-15,0.01,0.092,0.0,0.048,0.0,0.148,HOR1415L2,Lake Hoare,0.0013700000000000001,0.0673
34,"(0, 1]",2014-12-17,MIE,MIE2014L2,3670 days,2014-15,3.00875,0.0125,0.60875,0.005,0.05,3.63625,MIE1415L2,Lake Miers,0.04456666666666667,0.05111111111111111
35,"(0, 1]",2015-01-01,FRX,FRX2014L3,3685 days,2014-15,0.63,0.08888888888888889,0.024444444444444446,0.014444444444444446,0.1277777777777778,0.7566666666666667,FRX1415L3,Lake Fryxell,0.00915,0.0162
36,"(0, 1]",2015-11-13,MIE,MIE2015L1,4001 days,2015-16,4.490555555555556,0.033888888888888885,0.9527777777777777,0.185,0.19611111111111112,5.662777777777778,MIE1516L1,Lake Miers,0.08929999999999999,0.029555555555555557
37,"(0, 1]",2015-12-13,HOR,HOR2015L2,4031 days,2015-16,0.0,0.0,0.07666666666666667,0.17666666666666667,0.17,0.25333333333333335,HOR1516L2,Lake Hoare,0.0021,0.018222222222222223
38,"(0, 1]",2016-01-01,FRX,FRX2015L3,4050 days,2015-16,0.4744444444444444,0.12222222222222223,0.005555555555555556,0.0011111111111111111,0.05888888888888889,0.6011111111111112,FRX1516L3,Lake Fryxell,0.0031111111111111114,0.02811111111111111
39,"(0, 1]",2016-11-12,MIE,MIE1617L2,4366 days,2016-17,0.5975,0.005,0.45249999999999996,0.275,0.135,1.33,MIE1617L1,Lake Miers,0.08575555555555556,0.04833333333333333
40,"(0, 1]",2016-12-15,HOR,HOR1617L2,4399 days,2016-17,0.06833333333333333,0.023333333333333334,0.0,0.09999999999999999,0.03333333333333333,0.19166666666666665,HOR1617L2,Lake Hoare,0.009177777777777778,0.024666666666666667
41,"(0, 1]",2017-12-15,MIE,MIE1718L2,4764 days,2017-18,0.6074999999999999,0.06125,0.33125,0.1525,0.00375,1.1525,MIE1718L2,Lake Miers,0.008922222222222222,0.08222222222222222
42,"(0, 1]",2018-11-15,HOR,HOR1819L1,5099 days,2018-19,1.45125,0.04,1.69875,1.0262499999999999,0.15375,4.21625,HOR1819L1,Lake Hoare,0.35373333333333334,0.0026555555555555555
43,"(0, 1]",2018-12-14,HOR,HOR1819L2,5128 days,2018-19,2.9808333333333334,0.06833333333333333,2.4983333333333335,0.37666666666666665,0.15083333333333335,5.922499999999999,HOR1819L2,Lake Hoare,0.1106125,0.097525
44,"(0, 1]",2018-12-29,MIE,MIE1819L2,5143 days,2018-19,0.0,0.7614285714285715,0.3842857142857143,0.86,0.9214285714285715,2.007142857142857,MIE1819L2,Lake Miers,0.003941428571428571,0.060657142857142854
45,"(0, 1]",2019-11-16,HOR,HOR1920L1,5465 days,2019-20,2.1675,0.48,3.29125,0.46499999999999997,0.06875,6.4037500000000005,HOR1920L1,Lake Hoare,0.3286,0.19099999999999998
46,"(0, 1]",2019-12-13,HOR,HOR1920L2,5492 days,2019-20,0.23727272727272727,0.049090909090909095,0.44999999999999996,0.1309090909090909,0.10181818181818182,0.8672727272727272,HOR1920L2,Lake Hoare,0.00494,0.2976
47,"(0, 1]",2021-12-20,FRX,FRX2122L2,6230 days,2021-22,1.0210000000000001,0.10500000000000001,0.271,0.15699999999999997,0.29300000000000004,1.5530000000000002,FRX2122L2,Lake Fryxell,0.10055555555555556,0.4663333333333333
48,"(0, 1]",2021-12-23,HOR,HOR2122L2,6233 days,2021-22,0.568,0.13799999999999998,0.514,0.08399999999999999,0.041999999999999996,1.3059999999999998,HOR2122L2,Lake Hoare,0.006388888888888888,0.40622222222222226
49,"(0, 1]",2022-11-18,HOR,HOR2223L1,6563 days,2022-23,5.205555555555556,0.14777777777777779,1.6366666666666667,0.10555555555555556,0.6088888888888889,7.094444444444444,HOR2223L1,Lake Hoare,0.15838888888888888,0.10544444444444445
50,"(0, 1]",2022-12-22,HOR,HOR2223L2,6597 days,2022-23,1.06,0.0,1.0125,0.0,0.9375,2.0725,HOR2223L2,Lake Hoare,0.0093,0.144875
51,"(1, 2]",2004-12-02,FRX,FRX0405L2,3 days,2004-05,0.18499999999999997,0.0,0.6,0.07,0.12166666666666666,0.8533333333333334,FRX0405L2,Lake Fryxell,0.6333666666666667,0.03833333333333334
52,"(1, 2]",2004-12-07,HOR,HOR0405L2,8 days,2004-05,3.81,0.0,1.505,0.0,0.09,5.3149999999999995,HOR0405L2,Lake Hoare,0.041100000000000005,0.093
53,"(1, 2]",2004-12-29,FRX,FRX0405L3,30 days,2004-05,0.09000000000000001,0.01,0.07666666666666667,0.016666666666666666,0.07666666666666666,0.19000000000000003,FRX0405L3,Lake Fryxell,0.010039999999999999,0.054000000000000006
54,"(1, 2]",2004-12-30,HOR,HOR0405L3,31 days,2004-05,0.505,0.025,0.025,0.0,0.0,0.5549999999999999,HOR0405L3,Lake Hoare,0.0037600000000000003,0.0392
55,"(1, 2]",2006-11-11,FRX,FRX0607L1,712 days,2006-07,0.454,0.0,1.044,0.678,0.036,2.176,FRX0607L1,Lake Fryxell,0.38655,-0.0025000000000000005
56,"(1, 2]",2006-11-17,HOR,HOR0607L1,718 days,2006-07,1.1842857142857142,0.042857142857142864,0.5828571428571429,0.42142857142857143,0.022857142857142857,2.2271428571428573,HOR0607L1,Lake Hoare,0.10806666666666666,0.0006666666666666666
57,"(1, 2]",2006-12-15,HOR,HOR0607L2,746 days,2006-07,0.019230769230769232,0.02230769230769231,0.02923076923076923,0.016153846153846154,0.016923076923076923,0.08846153846153845,HOR0607L2,Lake Hoare,0.02155,0.049999999999999996
58,"(1, 2]",2007-11-17,HOR,HOR0708L1,1083 days,2007-08,1.1,0.076,0.49400000000000005,0.096,0.05600000000000001,1.764,HOR0708L1,Lake Hoare,0.09473333333333334,0.019
59,"(1, 2]",2007-12-28,FRX,FRX070808L3,1124 days,2007-08,1.27625,0.0,0.17375000000000002,0.0,0.01125,1.45125,FRX0708L3,Lake Fryxell,0.007233333333333334,0.009
60,"(1, 2]",2008-01-03,HOR,HOR0708L6,1130 days,2007-08,2.4454545454545458,0.0,0.5736363636363636,0.0,0.0,3.019090909090909,HOR0708L3,Lake Hoare,0.000875,0.02025
61,"(1, 2]",2008-01-20,FRX,FRX070808L4,1147 days,2007-08,0.0,0.11,0.10000000000000002,0.0,0.016666666666666666,0.21,FRX0708L4,Lake Fryxell,0.018750000000000003,0.035500000000000004
62,"(1, 2]",2008-01-24,HOR,HOR0708L4,1151 days,2007-08,0.675,0.0037500000000000003,0.10250000000000001,0.07125000000000001,0.02125,0.8512500000000001,HOR0708L4,Lake Hoare,0.0051333333333333335,0.09000000000000001
63,"(1, 2]",2008-03-15,FRX,FRX070808L8,1202 days,2007-08,1.545,0.0025,0.415,0.7625,0.015,2.7225,FRX0708L8,Lake Fryxell,0.19396666666666665,-0.0036666666666666666
64,"(1, 2]",2008-03-18,HOR,HOR0708L8,1205 days,2007-08,1.5242857142857142,0.07285714285714286,0.07857142857142858,0.44857142857142857,0.045714285714285714,2.1242857142857146,HOR0708L8,Lake Hoare,0.05,0.0208
65,"(1, 2]",2008-11-13,FRX,FRX0809L1,1445 days,2008-09,0.1275,0.00625,0.04,0.02,0.042499999999999996,0.19375,FRX0809L1,Lake Fryxell,0.262,-0.0015
66,"(1, 2]",2008-11-18,HOR,HOR0809L1,1450 days,2008-09,0.898,0.882,0.10800000000000001,0.13,0.062,2.02,HOR0809L1,Lake Hoare,0.15316666666666667,0.012666666666666666
67,"(1, 2]",2008-12-14,FRX,FRX0809L2,1476 days,2008-09,0.8859999999999999,0.0,0.096,0.032,0.044,1.014,FRX0809L2,Lake Fryxell,0.3175444444444444,-0.004777777777777778
68,"(1, 2]",2008-12-17,HOR,HOR0809L2,1479 days,2008-09,0.9725,0.0075,0.02625,0.0,0.0025,1.00625,HOR0809L2,Lake Hoare,0.01149,0.0172
69,"(1, 2]",2008-12-30,FRX,FRX0809L3,1492 days,2008-09,0.04625,0.1025,0.00875,0.026250000000000002,0.0175,0.185,FRX0809L3,Lake Fryxell,0.0039,0.004
70,"(1, 2]",2008-12-31,HOR,HOR0809L3,1493 days,2008-09,0.5366666666666666,0.01,0.08083333333333333,0.028333333333333335,0.0033333333333333335,0.6566666666666666,HOR0809L3,Lake Hoare,0.02,0.2061
71,"(1, 2]",2009-11-13,HOR,HOR0910L1,1810 days,2009-10,0.976,0.21400000000000002,0.438,0.43600000000000005,0.004,2.064,HOR0910L1,Lake Hoare,0.15102,0.005300000000000001
72,"(1, 2]",2009-12-30,FRX,FRX0910L3,1857 days,2009-10,0.485,0.10200000000000001,0.08499999999999999,0.0,0.025,0.674,FRX0910L3,Lake Fryxell,0.00152,0.0066
73,"(1, 2]",2010-11-15,HOR,HOR1011L1,2177 days,2010-11,4.4975000000000005,0.0,1.0775000000000001,0.14875,0.0125,5.72625,HOR1011L1,Lake Hoare,0.19755555555555557,0.006666666666666666
74,"(1, 2]",2010-12-12,HOR,HOR1011L2,2204 days,2010-11,5.922307692307693,0.0,0.7253846153846154,0.0007692307692307692,0.04615384615384615,6.648461538461539,HOR1011L2,Lake Hoare,0.020677777777777778,0.016777777777777777
75,"(1, 2]",2011-11-13,HOR,HOR1112L1,2540 days,2011-12,1.0884615384615386,0.04230769230769231,0.95,0.5269230769230769,0.05,2.6092307692307695,HOR1112L1,Lake Hoare,0.15689,0.009
76,"(1, 2]",2011-12-12,HOR,HOR1112L2,2569 days,2011-12,2.0883333333333334,0.0008333333333333334,0.14833333333333334,0.02416666666666667,0.015,2.2608333333333333,HOR1112L2,Lake Hoare,0.0206,0.0066
77,"(1, 2]",2012-11-14,MIE,MIE1213L1,2907 days,2012-13,12.306000000000001,0.0,0.028000000000000004,0.0,0.024666666666666667,12.333333333333334,MIE1213L1,Lake Miers,0.06799000000000001,0.009899999999999999
78,"(1, 2]",2012-12-13,MIE,MIE1213L2,2936 days,2012-13,1.34375,0.00625,0.05875,0.0,0.013750000000000002,1.41,MIE1213L2,Lake Miers,0.014849999999999999,0.027600000000000003
79,"(1, 2]",2013-11-16,FRX,FRX1314L1,3274 days,2013-14,0.8150000000000001,0.018571428571428572,4.167857142857143,2.6064285714285718,0.0692857142857143,7.607857142857143,FRX1314L1,Lake Fryxell,0.513275,-0.021500000000000002
80,"(1, 2]",2013-11-29,MIE,MIE1314L1,3287 days,2013-14,2.9963636363636366,0.15727272727272726,1.1027272727272728,0.13545454545454547,0.11181818181818182,4.39,MIE1314L1,Lake Miers,0.0757,0.017333333333333333
81,"(1, 2]",2013-12-12,JOY,JOY1314L1,3300 days,2013-14,1.4305263157894736,0.07,0.848421052631579,0.30736842105263157,0.07263157894736842,2.656842105263158,JOY1314,Lake Joyce,0.12022999999999999,-0.0007
82,"(1, 2]",2014-11-14,MIE,MIE2014L1,3637 days,2014-15,4.838,0.027000000000000003,0.344,0.037,0.073,5.247999999999999,MIE1415L1,Lake Miers,0.0811125,0.00375
83,"(1, 2]",2014-12-12,FRX,FRX2014L2,3665 days,2014-15,8.578333333333333,0.0,0.6758333333333333,0.0,0.0,9.251666666666667,FRX1415L2,Lake Fryxell,0.09824444444444444,0.00033333333333333327
84,"(1, 2]",2014-12-14,HOR,HOR2014L2,3667 days,2014-15,0.031111111111111114,0.06888888888888889,0.012222222222222223,0.012222222222222223,0.035555555555555556,0.12333333333333335,HOR1415L2,Lake Hoare,0.0012000000000000001,0.021222222222222222
85,"(1, 2]",2014-12-17,MIE,MIE2014L2,3670 days,2014-15,3.976153846153846,0.0,0.37846153846153846,0.017692307692307695,0.02153846153846154,4.369230769230769,MIE1415L2,Lake Miers,0.044579999999999995,0.0199
86,"(1, 2]",2015-01-01,FRX,FRX2014L3,3685 days,2014-15,0.6858333333333334,0.018333333333333333,0.18833333333333332,0.015,0.041666666666666664,0.9066666666666666,FRX1415L3,Lake Fryxell,0.008544444444444445,0.0031111111111111114
87,"(1, 2]",2015-11-13,MIE,MIE2015L1,4001 days,2015-16,6.1259999999999994,0.001,0.9480000000000001,0.181,0.017,7.256,MIE1516L1,Lake Miers,0.08887,0.0093
88,"(1, 2]",2015-12-13,HOR,HOR2015L2,4031 days,2015-16,0.00823529411764706,0.09,0.08411764705882352,0.022941176470588236,0.012941176470588235,0.20529411764705882,HOR1516L2,Lake Hoare,0.00211,0.0066
89,"(1, 2]",2016-01-01,FRX,FRX2015L3,4050 days,2015-16,0.303125,0.056875,0.061875,0.027500000000000004,0.0625,0.450625,FRX1516L3,Lake Fryxell,0.0023799999999999997,0.005200000000000001
90,"(1, 2]",2016-11-12,MIE,MIE1617L2,4366 days,2016-17,0.9825,0.02875,0.4075,0.2075,0.07250000000000001,1.62625,MIE1617L1,Lake Miers,0.08566,0.007000000000000001
91,"(1, 2]",2016-12-15,HOR,HOR1617L2,4399 days,2016-17,0.06,0.035625000000000004,0.015625,0.03,0.028125,0.140625,HOR1617L2,Lake Hoare,0.00919,0.0259
92,"(1, 2]",2017-12-15,MIE,MIE1718L2,4764 days,2017-18,0.48615384615384616,0.15076923076923077,0.062307692307692314,0.1253846153846154,0.033846153846153845,0.8246153846153845,MIE1718L2,Lake Miers,0.009477777777777778,0.05277777777777778
93,"(1, 2]",2018-11-15,HOR,HOR1819L1,5099 days,2018-19,1.205,0.064375,1.8275,0.935,0.151875,4.03125,HOR1819L1,Lake Hoare,0.35300125,-0.011175000000000001
94,"(1, 2]",2018-12-14,HOR,HOR1819L2,5128 days,2018-19,3.521052631578948,0.0,2.1189473684210527,0.44947368421052636,0.053685115789473686,6.09,HOR1819L2,Lake Hoare,0.10995625,0.0008375
95,"(1, 2]",2018-12-29,MIE,MIE1819L2,5143 days,2018-19,0.4825,0.6816666666666666,0.0,0.1225,0.04083333333333333,1.2866666666666666,MIE1819L2,Lake Miers,0.0036914285714285716,0.05625714285714285
96,"(1, 2]",2019-11-16,HOR,HOR1920L1,5465 days,2019-20,2.47421052631579,0.25578947368421057,2.114736842105263,1.0205263157894737,0.18,5.866842105263157,HOR1920L1,Lake Hoare,0.3247,0.020249999999999997
97,"(1, 2]",2019-12-13,HOR,HOR1920L2,5492 days,2019-20,0.59,0.11625,0.26875,0.0,0.03875,0.975,HOR1920L2,Lake Hoare,0.0054875,0.07175000000000001
98,"(1, 2]",2021-12-20,FRX,FRX2122L2,6230 days,2021-22,0.8452631578947369,0.1505263157894737,0.32894736842105265,0.044736842105263165,0.25894736842105265,1.3694736842105264,FRX2122L2,Lake Fryxell,0.10275000000000001,0.284
99,"(1, 2]",2021-12-23,HOR,HOR2122L2,6233 days,2021-22,0.8425,0.11125,0.25625,0.09875,0.053750000000000006,1.30875,HOR2122L2,Lake Hoare,0.006342857142857142,0.15357142857142855
100,"(1, 2]",2022-11-18,HOR,HOR2223L1,6563 days,2022-23,6.011666666666667,0.18166666666666667,2.0541666666666667,0.22333333333333336,0.2333333333333333,8.469166666666666,HOR2223L1,Lake Hoare,0.15749,0.0227
101,"(1, 2]",2022-12-22,HOR,HOR2223L2,6597 days,2022-23,3.8607142857142853,0.16071428571428573,0.4942857142857143,0.11857142857142856,0.08,4.633571428571429,HOR2223L2,Lake Hoare,0.005742857142857142,0.020999999999999998
102,"(2, 3]",2004-12-02,FRX,FRX0405L2,3 days,2004-05,0.255,0.0,0.925,0.08,0.12,1.26,FRX0405L2,Lake Fryxell,0.67825,-0.0155
103,"(2, 3]",2004-12-07,HOR,HOR0405L2,8 days,2004-05,3.6199999999999997,0.0,1.7566666666666666,0.0,0.13,5.376666666666666,HOR0405L2,Lake Hoare,0.04186666666666666,0.007333333333333333
104,"(2, 3]",2004-12-29,FRX,FRX0405L3,30 days,2004-05,0.03,0.04,0.095,0.0,0.05,0.16999999999999998,FRX0405L3,Lake Fryxell,0.008799999999999999,0.004
105,"(2, 3]",2004-12-30,HOR,HOR0405L3,31 days,2004-05,0.55,0.0,0.04,0.0,0.02,0.58,HOR0405L3,Lake Hoare,0.007233333333333334,0.09000000000000001
106,"(2, 3]",2006-11-11,FRX,FRX0607L1,712 days,2006-07,0.38000000000000006,0.0,1.2166666666666666,0.6033333333333334,0.02,2.2016666666666667,FRX0607L1,Lake Fryxell,0.40303333333333335,-0.020666666666666667
107,"(2, 3]",2006-11-17,HOR,HOR0607L1,718 days,2006-07,1.27,0.0,0.5789473684210527,0.5821052631578948,0.008947368421052633,2.4294736842105262,HOR0607L1,Lake Hoare,0.1076,0.0105
108,"(2, 3]",2006-12-15,HOR,HOR0607L2,746 days,2006-07,0.045454545454545456,0.018181818181818184,0.007272727272727273,0.02090909090909091,0.012727272727272726,0.09181818181818181,HOR0607L2,Lake Hoare,0.022600000000000002,0.034
109,"(2, 3]",2007-11-17,HOR,HOR0708L1,1083 days,2007-08,1.6749999999999998,0.0,0.505,0.1525,0.0,2.33,HOR0708L1,Lake Hoare,0.09546666666666666,0.074
110,"(2, 3]",2007-12-28,FRX,FRX070808L3,1124 days,2007-08,1.41,0.0,0.14625,0.0,0.005,1.5575,FRX0708L3,Lake Fryxell,0.007200000000000001,0.009666666666666665
111,"(2, 3]",2008-01-03,HOR,HOR0708L6,1130 days,2007-08,2.1109999999999998,0.0,0.562,0.037,0.0,2.711,HOR0708L3,Lake Hoare,0.0011666666666666668,0.2663333333333333
112,"(2, 3]",2008-01-20,FRX,FRX070808L4,1147 days,2007-08,0.044000000000000004,0.04,0.046,0.11400000000000002,0.008,0.248,FRX0708L4,Lake Fryxell,0.018366666666666667,0.07266666666666666
113,"(2, 3]",2008-01-24,HOR,HOR0708L4,1151 days,2007-08,0.74875,0.007500000000000001,0.0975,0.01875,0.02,0.86875,HOR0708L4,Lake Hoare,0.005957142857142857,0.3221428571428571
114,"(2, 3]",2008-03-15,FRX,FRX070808L8,1202 days,2007-08,1.75,0.0,0.3725,0.73,0.0,2.8475,FRX0708L8,Lake Fryxell,0.1970333333333333,0.04566666666666666
115,"(2, 3]",2008-03-18,HOR,HOR0708L8,1205 days,2007-08,1.4357142857142857,0.06714285714285714,0.1142857142857143,0.4428571428571429,0.05142857142857143,2.0571428571428574,HOR0708L8,Lake Hoare,0.048966666666666665,0.3306666666666667
116,"(2, 3]",2008-11-13,FRX,FRX0809L1,1445 days,2008-09,0.23666666666666666,0.016666666666666666,0.02,0.034999999999999996,0.028333333333333335,0.3066666666666667,FRX0809L1,Lake Fryxell,0.29705000000000004,0.004
117,"(2, 3]",2008-11-18,HOR,HOR0809L1,1450 days,2008-09,1.4016666666666666,0.9066666666666667,0.0,0.0,0.02666666666666667,2.308333333333333,HOR0809L1,Lake Hoare,0.15350000000000003,0.0975
118,"(2, 3]",2008-12-14,FRX,FRX0809L2,1476 days,2008-09,0.9875,0.0,0.1,0.0,0.05,1.0875,FRX0809L2,Lake Fryxell,0.34284,0.007200000000000001
119,"(2, 3]",2008-12-17,HOR,HOR0809L2,1479 days,2008-09,1.1888888888888889,0.0022222222222222222,0.014444444444444446,0.0,0.0011111111111111111,1.2055555555555555,HOR0809L2,Lake Hoare,0.04834,0.1935
120,"(2, 3]",2008-12-30,FRX,FRX0809L3,1492 days,2008-09,0.05666666666666667,0.07888888888888888,0.008888888888888889,0.02,0.023333333333333334,0.16333333333333333,FRX0809L3,Lake Fryxell,0.003944444444444444,0.0041111111111111105
121,"(2, 3]",2008-12-31,HOR,HOR0809L3,1493 days,2008-09,0.6055555555555556,0.025555555555555557,0.03888888888888889,0.04111111111111111,0.006666666666666667,0.711111111111111,HOR0809L3,Lake Hoare,0.0226875,0.48675
122,"(2, 3]",2009-11-13,HOR,HOR0910L1,1810 days,2009-10,1.1783333333333335,0.23333333333333336,0.3066666666666667,0.545,0.0,2.263333333333333,HOR0910L1,Lake Hoare,0.1510125,0.05525
123,"(2, 3]",2009-12-30,FRX,FRX0910L3,1857 days,2009-10,0.5533333333333333,0.09555555555555556,0.014444444444444446,0.005555555555555556,0.02666666666666667,0.6677777777777778,FRX0910L3,Lake Fryxell,0.0463375,0.073125
124,"(2, 3]",2010-11-15,HOR,HOR1011L1,2177 days,2010-11,5.218571428571429,0.0,1.9785714285714284,0.13,0.0,7.327142857142857,HOR1011L1,Lake Hoare,0.204375,0.049
